axis,region,n_fwd,n_bwd,acp_fwd,acp_bwd,delta_acp,delta_err,z_score,upper_bound_95
Transverse X (px > 0 vs px < 0),Low s12 (< 3.0 GeV²) [Resonant],65718,69321,-0.07264372013755745,0.053043089395709814,-0.12568680953326727,0.005433349556714161,-23.132472560678913,0.13633617466442702
Transverse X (px > 0 vs px < 0),Mid s12 [3.0 - 12.0 GeV²],100303,105647,-0.054086119059250475,0.027572955218794666,-0.08165907427804514,0.004404419896743771,-18.54025642251241,0.09029173727566293
Transverse X (px > 0 vs px < 0),"High s12, Low s23",10062,10460,-0.026833631484794274,0.0361376673040153,-0.06297129878880957,0.013956708210311537,-4.511901935607203,0.09032644688102018
Transverse X (px > 0 vs px < 0),"High s12, High s23",5839,6346,0.05600274019523891,-0.04034037188780334,0.09634311208304225,0.018112101282204033,5.319267520754412,0.13184283059616214
Transverse Y (py > 0 vs py < 0),Low s12 (< 3.0 GeV²) [Resonant],70578,64461,-0.013970359035393466,-0.0017219714245823056,-0.01224838761081116,0.005447858835025278,-2.2482938676868867,0.022926190927460705
Transverse Y (py > 0 vs py < 0),Mid s12 [3.0 - 12.0 GeV²],105519,100431,-0.01799675887754812,-0.006103693082813075,-0.011893065794735043,0.004408016653110843,-2.698053734969858,0.020532778434832297
Transverse Y (py > 0 vs py < 0),"High s12, Low s23",10460,10062,-0.0007648183556405354,0.011528523156430133,-0.012293341512070668,0.013963267886018487,-0.8804057626352692,0.039661346568666905
Transverse Y (py > 0 vs py < 0),"High s12, High s23",6257,5928,0.014224069042672207,-0.003036437246963563,0.01726050628963577,0.01812396390625445,0.9523582356991613,0.05278347554589449
Longitudinal Boost (pz > median vs pz < median),Low s12 (< 3.0 GeV²) [Resonant],71142,63897,-0.011385679345534283,-0.004491603674663912,-0.006894075670870371,0.0054501782866630466,-1.2649266332700781,0.017576425112729943
Longitudinal Boost (pz > median vs pz < median),Mid s12 [3.0 - 12.0 GeV²],98434,107516,-0.016031046183229373,-0.0086870791324082,-0.0073439670508211735,0.004410977204359314,-1.6649297220496224,0.01598948237136543
Longitudinal Boost (pz > median vs pz < median),"High s12, Low s23",9430,11092,0.008271474019088017,0.002704652001442481,0.005566822017645535,0.014006844421378206,0.3974358428047555,0.033020237083546816
Longitudinal Boost (pz > median vs pz < median),"High s12, High s23",7842,4343,0.0007651109410864575,0.014966612940363803,-0.014201501999277345,0.01891355128192578,-0.7508638535190705,0.051272062511851874
